Packet,1_2_Id,2_0_1_7_Id,Status
CSSplitCofferItemPacket,0x03f,0x023,RENUMBERED
CSStartDuelPacket,0x051,0x15b,RENUMBERED
CSStartedCinemaPacket,0x0cf,0x02d,RENUMBERED
CSStartInteractionPacket,0x068,0x177,RENUMBERED
CSStartQuestContextPacket,0x0d5,0x00d,RENUMBERED
CSStartSkillPacket,0x052,0x16e,RENUMBERED
CSStartTradePacket,0x0ec,0x159,RENUMBERED
CSStopCastingPacket,0x054,0x012,RENUMBERED
CSSwapAbilityPacket,0x096,0x110,RENUMBERED
CSSwapCofferItemsPacket,0x040,0x181,RENUMBERED
CSSwapItemsPacket,0x03a,0x125,RENUMBERED
CSTakeAllAttachmentItemPacket,0x139,,REMOVED_IN_2_0
CSTakeAllSelectedAttachmentPacket,,0x064,NEW_IN_2_0
CSTakeAttachmentItemPacket,0x09d,0x024,RENUMBERED
CSTakeAttachmentMoneyPacket,0x09e,0x16d,RENUMBERED
CSTakeAttachmentSequentially,0x09f,,REMOVED_IN_2_0
CSTakeAttachmentSequentiallyPacket,,0xfff,NEW_IN_2_0
CSTakedownTradeItemPacket,0x0f2,0x0c8,RENUMBERED
CSTeleportEndedPacket,0x0b4,0x150,RENUMBERED
CSThisTimeUnpackItemPacket,0x134,0x106,RENUMBERED
CSTradeLockPacket,0x0f3,0x0b5,RENUMBERED
CSTradeOkPacket,0x0f4,0x01c,RENUMBERED
CSTryQuestCompleteAsLetItDonePacket,0x0dd,0x143,RENUMBERED
CSTurretStatePacket,0x036,0x0aa,RENUMBERED
CSUnbondDoodadPacket,0x0cd,0x078,RENUMBERED
CSUnhangPacket,0x0cc,0x17d,RENUMBERED
CSUnknownInstancePacket,0x13e,,REMOVED_IN_2_0
CSUnknownPacket__0x0cd,,0x0cd,NEW_IN_2_0
CSUnknownPacket_0x002,,0x002,NEW_IN_2_0
CSUnknownPacket_0x00e,,0x00e,NEW_IN_2_0
CSUnknownPacket_0x015,,0x015,NEW_IN_2_0
CSUnknownPacket_0x019,,0x019,NEW_IN_2_0
CSUnknownPacket_0x01a,,0x01a,NEW_IN_2_0
